player,team,games,fgm,fga,ftm,fta,tpm,pts,reb,ast,stl,blk,tov
Miles Bridges,CHA,69,6.729876160990712,14.967492260061919,2.91640866873065,3.486687306501548,2.031888544891641,18.46764705882353,6.46547987616099,3.4187306501547985,0.6617647058823529,0.49984520123839005,1.6721362229102168
John Collins,DET,55,6.033855534709193,11.1422138836773,2.2774953095684807,2.826135084427767,1.412279549718574,15.75748592870544,6.67922138836773,1.2997936210131331,0.928452157598499,0.8327110694183866,1.7536772983114448
Damian Lillard,MIL,22,6.88825910931174,15.582487854251013,5.69124089068826,6.2074939271255065,2.970012145748987,22.37401821862348,4.173259109311741,6.398753036437246,1.0325060728744935,0.181,2.4805060728744937
Nikola Vučević,BOS,61,6.197704878048779,12.24060325203252,1.2372747967479676,1.5410016260162602,1.467718699186992,15.085540650406505,8.384714634146341,3.0509536585365855,0.6186373983739838,0.5975943089430894,1.3067317073170732
Darius Garland,LAC,53,7.088165680473372,15.24378698224852,2.6443786982248523,3.055621301775148,2.6994082840236686,19.508875739644967,2.6556213017751484,6.677514792899408,1.1224852071005917,0.14437869822485208,2.7449704142011835
Trae Young,WAS,35,7.070588235294117,16.867226890756303,6.2327731092436975,7.226050420168067,2.7142857142857144,23.103361344537817,2.823529411764706,10.722689075630251,1.1521008403361344,0.1789915966386555,4.2134453781512615
LeBron James,PHI,57,6.36812859058001,12.294333539009108,2.8659505304246804,3.794079250795751,1.2471332037780176,16.82020169450105,5.76407682219383,6.465373076556022,0.9576670294104741,0.49379932137049204,2.4501122169927285
Derik Queen,NOP,71,4.7749708895911835,9.809054087809253,2.8116922018846235,3.5783888441317067,0.3788020704817143,12.646279240943906,7.756630620421329,3.770255270941661,1.038535154074792,0.9940610907815473,2.3501080432754544
Mark Williams,PHX,46,5.181973381297169,8.340869993278679,2.51610436810292,3.1842154325412846,0.05241927791591951,12.955501766829494,8.79927660171942,1.531997741501074,0.8438378934879464,1.0190274584864825,1.2737201578572241
Kyrie Irving,DAL,18,8.472395839420841,17.73476604986657,3.4712229209755057,3.8286197896932346,2.730294096727943,23.186121187023062,4.564106431979126,4.480477849290184,1.22374179444561,0.46791973599091086,1.964438646247702
Rudy Gobert,MIN,68,4.3223214285714295,6.461380952380952,2.2526428571428565,3.8165119047619056,0.0,10.907916666666667,10.777547619047619,1.5856904761904762,0.7413690476190479,1.4967261904761904,1.2768333333333333
Brandon Ingram,TOR,51,8.038966202783298,16.791451292246517,3.6711729622266396,4.464413518886678,1.8007952286282305,21.486083499005957,5.5363817097415495,4.115506958250497,0.8107355864811132,0.6765407554671966,2.5630218687872754
Keyonte George,UTA,57,6.612186813186814,15.477164835164837,4.979670329670331,5.783989010989012,2.6162197802197804,20.819098901098904,3.829978021978022,6.023362637362637,0.9225494505494506,0.21083516483516485,3.042549450549451
Julius Randle,MIN,68,7.061142746913579,14.738366512345683,4.5858742283950615,5.785962962962963,1.4629074074074073,20.231109567901232,6.900168209876542,4.830604166666666,0.9156851851851852,0.20399228395061733,2.746903549382716
Jabari Smith Jr.,HOU,68,5.474645569620254,12.207493670886075,2.0870759493670885,2.6297848101265826,2.1606329113924048,15.156354430379748,7.354215189873418,1.713367088607595,0.6435822784810126,0.8672151898734176,1.3465696202531645
Pascal Siakam,IND,65,8.267695512820513,16.469480769230767,3.5265096153846147,4.979955128205127,1.538009615384615,21.611724358974357,6.573304487179486,3.6026794871794867,0.9569423076923076,0.41193910256410254,1.7932564102564097
Kyle Filipowski,UTA,74,5.18158267194978,10.382197918572803,2.351389399409532,3.2595640033013193,1.3076786258251016,13.944024817710256,8.502928747771321,2.8993599522424973,1.0188625110992724,0.576613283232549,1.9605435007230028
Kristaps Porziņģis,GSW,31,6.009169738541245,12.72940680092464,4.0099332935924865,4.792818941685344,1.9998763561822674,18.04440472225013,6.078537869538955,2.2769350801296904,0.6645721837111683,1.3880383484041012,1.3548396271815388
Walker Kessler,LAL,25,4.945907652790636,7.520022405923757,1.5799150926843548,2.7050397651947136,0.2578322705276522,11.704425271895218,11.189673112722417,1.7440643624233534,0.686726211316393,2.3560993623733624,1.664404107023512
Keegan Murray,SAC,42,5.8537407183254375,13.291910083805629,1.2873651085160154,1.5348731701742204,2.128461600962776,15.102570256306292,6.750172778922284,1.6718758329134604,0.9695636800539027,1.1674126788683212,1.0288147938349748
Cameron Boozer,MEM,62,5.51,11.600000000000001,2.32,3.045,1.16,14.5,7.25,2.9000000000000004,0.812,1.305,2.32
Cason Wallace,OKC,73,3.4395499254843527,7.642110283159467,0.6064590163934428,0.7732786885245904,1.3005931445603578,8.818378539493294,3.279049180327869,2.5812816691505223,1.8522354694485847,0.46918032786885255,0.9021847988077497
Daniel Gafford,DAL,53,4.315939599756499,6.301598443698121,2.0695212481977063,2.982299379176755,0.017697479812356847,10.634713922621756,6.92720215023739,1.280641922934372,0.6835283238977565,1.5621065752289802,1.1199071388152952
Immanuel Quickley,TOR,53,5.680851063829787,13.002901353965186,2.683558994197292,3.251257253384913,2.519148936170213,16.612959381044487,3.8779497098646036,5.749323017408123,1.1061895551257255,0.09999999999999999,1.5574468085106385
Deandre Ayton,WAS,55,5.942031622687206,9.43529272184499,1.2005216809507047,1.7934398811755943,0.04405584150277816,13.118544637483506,8.654219365201984,1.04265491556575,0.6736872429799826,0.9618858728106565,1.349210146022581
Andrew Wiggins,MIA,61,5.711666666666667,12.358333333333334,2.3033333333333337,2.9695,1.9471666666666665,15.688666666666668,4.6025,2.511166666666667,0.9943333333333333,0.8776666666666665,1.502
Jalen Suggs,ORL,48,4.993548387096775,11.612903225806454,1.9935483870967743,2.325806451612903,2.106451612903226,14.148387096774195,3.7935483870967746,4.641935483870968,1.6677419354838712,0.729032258064516,2.6
Paolo Banchero,ORL,61,8.114878892733564,17.813868512110727,6.329605536332181,8.404927335640139,1.4649965397923874,24.064304498269898,8.296608996539792,5.337467128027682,0.7816193771626297,0.624,3.1991695501730106
Toumani Camara,POR,79,4.4072829131652655,9.891876750700279,1.1901960784313723,1.6378151260504201,2.1859943977591034,12.133333333333331,5.309803921568626,2.2742296918767506,1.211484593837535,0.4753501400560224,1.610084033613445
CJ McCollum,ATL,61,7.511514988186737,16.679597894779267,2.3627961161215687,3.1147952243950146,2.8961119850639188,20.29312652236195,3.5472455682195316,4.033316990167453,0.8114230511256699,0.4837893964927659,1.8908471717046913
Devin Vassell,SAS,63,5.593781512605042,12.618991596638656,1.6591596638655464,2.025714285714286,2.4885714285714284,15.314453781512604,3.977142857142857,2.8119327731092434,1.0519327731092438,0.42084033613445376,1.141344537815126
Jakob Poeltl,TOR,45,5.368740832871759,8.143061326473683,1.4540747765267774,2.26553449586529,0.013709458730398166,12.19425163380456,8.165447791159334,2.358504728623406,0.987459935216485,0.9811262558244886,1.4987827470945645
Ryan Rollins,MIL,58,5.347688606804073,11.218188625067718,1.4438969000343,1.8007866243669002,2.016327002699658,14.060647022249006,3.8287730296555624,4.4764448249643,1.3007106830054276,0.3763095626551497,2.146722029506334
Cedric Coward,MEM,60,5.510496337674678,11.869717734559671,2.5555910311350822,3.017270509005016,1.7418780859726728,15.317589330082924,6.295908801502316,3.312160900161513,0.7539867378021268,0.44163420298277145,1.9107787470339683
Norman Powell,MIA,55,6.7469175824175815,14.128402930402931,3.6685293040293048,4.48080402930403,2.606485347985348,19.718126373626372,3.1284120879120874,2.0754633699633698,1.015518315018315,0.20429304029304027,1.6500860805860802
Brandin Podziemski,GSW,74,4.748615384615384,10.503076923076922,1.855384615384615,2.3975384615384616,1.8667692307692307,13.207999999999998,5.383692307692307,3.7593846153846164,1.109846153846154,0.20800000000000005,1.5003076923076923
Reed Sheppard,HOU,69,4.286078770121858,10.06994321053434,0.8019908484073167,0.9781329305257173,2.3294225513256865,11.633610879816876,2.7175255918966745,3.032403342116354,1.3130582355949056,0.5937996607789179,1.3616405702934264
Maxime Raynaud,SAC,67,5.353423628579135,9.426717360475847,1.9185686257257646,2.4852703234104165,0.37202576185000635,12.996387377454113,7.896622424797353,1.589586441321352,0.5587314370483937,0.609701745808668,1.3787390295983986
Jimmy Butler III,GSW,34,5.242012048192771,10.290108433734938,5.494626506024096,6.451626506024096,0.6519759036144578,16.635867469879514,4.765084337349397,4.448530120481927,1.2054216867469876,0.22116867469879514,1.3008072289156625
Isaiah Hartenstein,OKC,49,4.13076923076923,6.828274428274429,1.4155925155925155,2.148856548856549,0.0,9.692723492723491,9.690644490644491,3.4507276507276514,0.9600831600831602,0.9534303534303534,1.622037422037422
Ryan Kalkbrenner,CHA,64,3.383724548752625,4.788288561925218,1.3113655591202202,1.848924846924651,0.09811773373879963,8.175938088238825,5.796487383129998,0.9986228002521509,0.5300423637360756,1.4267875571608686,0.9688847277132131
Ausar Thompson,DET,65,4.313851239669422,8.153084297520662,1.516680991735537,2.567338842975207,0.15608595041322315,10.23772561983471,5.821249586776859,2.8506314049586776,1.8912528925619836,0.8751471074380163,1.5079140495867767
Kyshawn George,WAS,52,5.2390025923457335,12.417675244547741,2.0612030687299763,2.6341288130283047,2.303325745855462,14.782129462299675,5.567859630638519,4.114854172428676,1.1685518675669289,0.9330789094830289,2.454900951639263
Zion Williamson,NOP,48,8.308510638297873,14.13404255319149,5.321276595744681,7.536170212765958,0.03404255319148936,21.972340425531915,6.002127659574469,3.870212765957447,1.0531914893617023,0.6063829787234043,2.3106382978723405
Alex Sarr,WAS,51,5.530119903694937,12.291475408544907,1.8603589424118663,2.679810332677123,1.1828636771762424,14.062498604972152,7.097983513983421,2.5494442453563697,0.7569464596953304,1.7243943272367173,1.6194183786651284
Julian Champagnie,SAS,81,3.446849315068494,7.994794520547945,1.224657534246575,1.390958904109589,2.2312328767123284,10.259726027397257,4.855616438356163,1.4561643835616436,0.7460273972602738,0.47643835616438346,0.8336986301369864
Ayo Dosunmu,MIN,59,5.2801431127012535,10.376386404293385,1.5813953488372097,1.9060822898032206,1.6493738819320216,13.82933810375671,3.343112701252236,3.767799642218247,0.8382826475849733,0.35187835420393565,1.4246869409660108
Coby White,CHA,58,6.295825771324864,13.949001814882035,3.661705989110708,4.302903811252268,2.5847549909255902,18.852450090744103,3.6785843920145194,4.359165154264973,0.68983666061706,0.1546279491833031,2.4477313974591657
Zach LaVine,SAC,43,7.446109728506788,15.082533936651584,3.1687138009049773,3.722274886877828,2.8032386877828057,20.957100678733028,3.6338031674208144,3.2946244343891404,0.744544117647059,0.24602714932126696,2.327898190045249
Nic Claxton,BKN,66,4.778274760383386,8.276677316293929,1.6413738019169328,2.874281150159744,0.03354632587859425,11.241693290734824,7.407987220447284,3.0153354632587854,0.7557507987220448,1.3140575079872203,1.3215654952076676
Tre Jones,CHI,57,4.401296296296295,8.158703703703702,2.237407407407407,2.7037037037037037,0.5774074074074074,11.752037037037038,3.0464814814814813,5.207407407407407,1.0692592592592591,0.18574074074074073,1.2609259259259258
Paul George,BOS,35,6.0868035491065,13.700336657182717,2.3904194428501153,2.827975962515801,2.549350301298492,17.04905951058328,4.63824258770349,3.343020473062715,1.4874475163520664,0.3966373420478149,1.9610577955731725
Tobias Harris,SAS,62,4.7719605233630045,10.050476517606654,1.9894472524916822,2.2625441026064492,1.1504129453234098,12.650774506033848,5.054401746936444,2.2400874631654446,0.8628473879177939,0.5278063847140811,1.0079866079291189
Neemias Queta,BOS,63,3.546302556713482,5.553818114801334,1.3072487961323846,1.8704867184034195,0.043357434533012995,8.471680600761097,6.7499017830392996,1.3781198149613278,0.6276805714483653,1.0729160948210046,0.8764397729124996
Christian Braun,DEN,56,4.926530612244898,9.062337662337661,1.8693877551020412,2.369387755102041,1.0135435992578852,12.779962894248609,4.808534322820037,2.4886827458256033,0.8454545454545456,0.40315398886827464,0.9543599257884972
Cameron Johnson,DEN,51,4.955110220440882,10.494388777555113,2.2935871743486977,2.6935871743486977,2.3206412825651306,14.601202404809618,4.0294589178356714,2.7426853707414827,0.7801603206412825,0.38837675350701406,1.1857715430861726
Collin Sexton,CHI,64,5.858978583196046,12.111367380560132,3.3779242174629327,3.9779242174629323,1.6311367380560131,16.758154859967053,2.4630971993410213,3.785831960461285,0.9369028006589785,0.11285008237232291,2.2245469522240526
Dejounte Murray,NOP,23,7.017897195320371,15.930993453306238,2.950524450772629,3.56196976954369,1.907000800564243,18.82676688588801,5.767029808287279,6.741770138792212,1.6813040429993764,0.3110599462935236,3.1195399691501984
Ace Bailey,UTA,66,5.949698429195541,13.296366633954714,1.185058013398468,1.5697909062772697,2.026884708537783,15.112737731416178,4.8044796311329625,2.0878315221971415,0.899277358537618,0.7572882422673285,1.6510390035825213
Grayson Allen,PHX,53,4.486206896551725,10.502298850574714,2.1637931034482754,2.561494252873563,2.7482758620689656,13.898850574712645,3.1293103448275863,3.0597701149425287,1.107471264367816,0.3431034482758621,1.409770114942529
Bobby Portis Jr.,MIA,57,5.7330447593419605,11.745656953260127,0.9275810712030181,1.2357426994134062,1.747524126878649,14.141194716765591,7.258918353400254,1.7325895798850015,0.6729652578235131,0.31562890170721203,1.0956857891924912
